,상품명,상품코드,Deposit_Code,금리연동형,스윙서비스,역스윙서비스,우대서비스,일반정기예금,스마트폰뱅킹
122,정기예금,A23-00005,A23-000051,0.0,0.0,0.0,0.0,0.0,0.0
123,정기예금,A23-00005,A23-000052,0.0,0.0,0.0,0.0,0.0,0.0
124,정기예금,A23-00005,A23-000053,0.0,0.0,0.0,0.0,0.0,0.0
125,정기예금,A23-00005,A23-000054,0.0,0.0,0.0,0.0,0.0,0.0
126,정기예금,A23-00005,A23-000055,0.0,0.0,0.0,0.0,0.0,0.0
127,정기예금,A23-00005,A23-000056,0.0,0.0,0.0,0.0,0.0,0.0
128,정기예금,A23-00005,A23-000057,0.0,0.0,0.0,0.0,0.0,0.0
129,정기예금,A23-00005,A23-000058,0.0,0.0,0.0,0.0,0.0,0.0
130,정기예금,A23-00005,A23-000059,0.0,0.0,0.0,0.0,0.0,0.0
131,정기예금,A23-00005,A23-0000510,0.0,0.0,0.0,0.0,0.0,0.0
132,정기예금,A23-00005,A23-0000511,0.0,0.0,0.0,0.0,0.0,0.0
133,정기예금,A23-00005,A23-0000512,0.0,0.0,0.0,0.0,0.0,0.0
134,정기적금,A23-00006,A23-000061,0.0,0.0,0.0,0.0,0.0,0.0
135,정기적금,A23-00006,A23-000062,0.0,0.0,0.0,0.0,0.0,0.0
136,파란하늘정기적금,A23-00007,A23-000071,0.0,0.0,0.0,0.0,0.0,0.0
137,내맘대로중도해지정기예금,A23-00009,A23-000091,0.0,0.0,0.0,0.0,0.0,0.0
138,보통예금,A23-00008,A23-000081,0.0,0.0,0.0,0.0,0.0,0.0
